,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
99,North,65 – 74,Male,4.0,4.0,4.0,Walk,Bus,Car,Walk,Bus,Car,1.0
100,South,55 – 64,Male,5.0,5.0,5.0,Bus,Walk,Car,Bus,Walk,Car,1.0
101,North,16 – 24,Male,3.0,4.0,3.0,Bus,Car,Walk,Bus,Car,None,1.0
102,South,25 – 34,Female,3.0,3.0,2.0,Walk,Car,None,Car,Bus,Walk,1.0
103,West,35 – 44,Male,2.0,2.0,2.0,Walk,Car,Bus,Walk,Car,Bus,1.0
104,West,25 – 34,Female,5.0,4.0,4.0,Car,Walk,None,Car,Tram,Walk,1.0
105,North,25 – 34,Male,4.0,4.0,3.0,Walk,Car,Bus,Car,Bus,Walk,2.0
106,East,45 – 54,Male,5.0,5.0,5.0,Walk,Cycle,Bus,Bus,Cycle,Walk,0.0
107,North,45 – 54,Female,5.0,5.0,5.0,Bus,Walk,None,Bus,Tram,Walk,0.0
108,North,35 – 44,Male,5.0,5.0,5.0,Car,Bus,Motorcycle,Car,Bus,Motorcycle,1.0
109,West,55 – 64,Female,5.0,4.0,4.0,Car,Walk,Cycle,Car,Bus,Tram,2.0
110,South,65 – 74,Female,3.0,4.0,4.0,Bus,Walk,Tram,Bus,Walk,Tram,0.0
111,West,55 – 64,Male,1.0,4.0,4.0,Car,Tram,Bus,Walk,Car,Tram,2.0
112,West,55 – 64,Male,4.0,4.0,4.0,Walk,Bus,Walk,Walk,Bus,Walk,1.0
113,East,35 – 44,Female,4.0,4.0,3.0,Car,Walk,Bus,Car,Walk,Bus,1.0
114,South,55 – 64,Female,4.0,1.0,1.0,Car,None,,Car,Bus,Walk,1.0
115,East,35 – 44,Female,2.0,3.0,2.0,Car,None,,Car,None,,2.0
116,West,16 – 24,Female,5.0,5.0,1.0,Bus,Walk,Tram,Bus,Cycle,Tram,1.0
